severity,severity_final,length,recDate,dispDate,ocat
5,5,30,18642,18672,2
3,3,187,18642,18829,5
5,5,160,18642,18802,5
5,5,396,18642,19038,5
3,3,180,18642,18822,5
5,5,656,18643,19299,3
3,3,415,18643,19058,5
5,5,198,18642,18840,2
3,3,404,18643,19047,3
5,5,51,18643,18694,5
5,5,401,18643,19044,3
5,6,148,18643,18791,5
3,3,97,18642,18739,5
3,5,131,18643,18774,5
5,5,92,18643,18735,3
5,5,59,18643,18702,5
2,2,116,18643,18759,5
5,5,114,18643,18757,2
4,6,843,18643,19486,5
2,2,264,18643,18907,5
2,3,416,18643,19059,5
5,5,368,18643,19011,2
4,4,87,18643,18730,2
1,1,1000,18641,19641,5
1,1,451,18641,19092,5
5,5,88,18643,18731,5
5,6,235,18643,18878,2
4,4,212,18643,18855,5
5,5,816,18643,19459,5
3,3,71,18643,18714,5
5,5,164,18644,18808,5
5,5,358,18644,19002,3
3,3,119,18644,18763,3
5,5,57,18644,18701,5
5,5,321,18644,18965,5
5,5,203,18644,18847,5
4,4,84,18644,18728,3
3,3,522,18644,19166,5
5,5,30,18644,18674,5
5,5,301,18644,18945,1
3,3,327,18642,18969,5
5,5,185,18644,18829,2
5,5,52,18644,18696,2
5,5,246,18644,18890,5
3,3,200,18644,18844,3
4,4,396,18644,19040,5
4,6,1198,18644,19842,3
4,4,204,18644,18848,2
3,3,372,18644,19016,5
3,3,164,18644,18808,5
4,4,79,18644,18723,5
4,4,65,18644,18709,2
4,4,372,18644,19016,5
3,3,211,18644,18855,5
5,5,128,18644,18772,5
4,4,213,18644,18857,3
3,3,66,18644,18710,5
5,5,53,18644,18697,3
3,3,458,18645,19103,5
3,3,135,18645,18780,5
2,5,712,18643,19355,1
3,3,176,18645,18821,5
1,1,1274,18641,19915,5
1,1,454,18641,19095,5
5,5,78,18645,18723,1
3,3,150,18645,18795,1
1,5,290,18645,18935,1
5,5,104,18645,18749,5
3,3,73,18643,18716,5
3,3,266,18645,18911,5
2,2,322,18645,18967,1
3,3,35,18645,18680,5
2,2,336,18645,18981,1
5,5,289,18645,18934,5
1,1,508,18641,19149,5
3,4,317,18645,18962,5
3,3,107,18645,18752,1
3,3,826,18645,19471,5
3,3,121,18645,18766,1
1,1,405,18645,19050,5
2,2,56,18645,18701,1
5,5,152,18639,18791,5
1,1,1255,18644,19899,5
1,1,1255,18644,19899,5
1,1,1331,18644,19975,5
2,2,499,18645,19144,5
5,5,127,18645,18772,1
3,5,693,18645,19338,1
5,5,174,18645,18819,1
5,5,522,18641,19163,1
5,5,72,18645,18717,1
2,2,536,18630,19166,5
2,2,808,18630,19438,5
5,5,92,18645,18737,1
